id,value,location,sample date,measure
2227,0.33,Boonsri,11-Jan-98,Ammonium
2248,3.6,Boonsri,11-Jan-98,Biochemical Oxygen
2234,52,Boonsri,11-Jan-98,Calcium
2249,13.8,Boonsri,11-Jan-98,Chemical Oxygen Demand (Cr)
2250,4.8,Boonsri,11-Jan-98,Chemical Oxygen Demand (Mn)
2236,19.2,Boonsri,11-Jan-98,Chlorides
2223,9.1,Boonsri,11-Jan-98,Dissolved oxygen
2259,0,Boonsri,11-Jan-98,Fecal coliforms
2238,4.95,Boonsri,11-Jan-98,Iron
2256,0,Boonsri,11-Jan-98,Macrozoobenthos
2235,9.7,Boonsri,11-Jan-98,Magnesium
2239,0.01,Boonsri,11-Jan-98,Manganese
2229,1.47,Boonsri,11-Jan-98,Nitrates
2228,0.01,Boonsri,11-Jan-98,Nitrites
2230,0.06,Boonsri,11-Jan-98,Orthophosphate-phosphorus
2233,3.5,Boonsri,11-Jan-98,Potassium
2232,13.9,Boonsri,11-Jan-98,Sodium
2237,36.7,Boonsri,11-Jan-98,Sulphates
2258,0.95,Boonsri,11-Jan-98,Total coliforms
2231,0.09,Boonsri,11-Jan-98,Total phosphorus
8297,0.3,Kannika,26-Jan-98,Ammonium
8778,0.28,Kannika,26-Jan-98,Ammonium
9261,0.27,Kannika,26-Jan-98,Ammonium
8318,2.2,Kannika,26-Jan-98,Biochemical Oxygen
8799,2.1,Kannika,26-Jan-98,Biochemical Oxygen
9282,2.1,Kannika,26-Jan-98,Biochemical Oxygen
8304,67.19,Kannika,26-Jan-98,Calcium
8785,66.4,Kannika,26-Jan-98,Calcium
9268,67.2,Kannika,26-Jan-98,Calcium
8319,9.4,Kannika,26-Jan-98,Chemical Oxygen Demand (Cr)
8800,10,Kannika,26-Jan-98,Chemical Oxygen Demand (Cr)
9283,9.8,Kannika,26-Jan-98,Chemical Oxygen Demand (Cr)
8320,3.7,Kannika,26-Jan-98,Chemical Oxygen Demand (Mn)
8801,3.9,Kannika,26-Jan-98,Chemical Oxygen Demand (Mn)
9284,3.7,Kannika,26-Jan-98,Chemical Oxygen Demand (Mn)
8306,26.59,Kannika,26-Jan-98,Chlorides
8787,26.6,Kannika,26-Jan-98,Chlorides
9270,28.4,Kannika,26-Jan-98,Chlorides
8293,12.1,Kannika,26-Jan-98,Dissolved oxygen
8774,11.07,Kannika,26-Jan-98,Dissolved oxygen
9257,11.48,Kannika,26-Jan-98,Dissolved oxygen
8329,0,Kannika,26-Jan-98,Fecal coliforms
8810,0,Kannika,26-Jan-98,Fecal coliforms
9293,0,Kannika,26-Jan-98,Fecal coliforms
8308,0.1,Kannika,26-Jan-98,Iron
8789,0.1,Kannika,26-Jan-98,Iron
9272,0.11,Kannika,26-Jan-98,Iron
8326,0,Kannika,26-Jan-98,Macrozoobenthos
8807,0,Kannika,26-Jan-98,Macrozoobenthos
9290,0,Kannika,26-Jan-98,Macrozoobenthos
8305,9.33,Kannika,26-Jan-98,Magnesium
8786,8.8,Kannika,26-Jan-98,Magnesium
9269,9.3,Kannika,26-Jan-98,Magnesium
8309,0,Kannika,26-Jan-98,Manganese
8790,0,Kannika,26-Jan-98,Manganese
9273,0,Kannika,26-Jan-98,Manganese
8299,1.03,Kannika,26-Jan-98,Nitrates
8780,1,Kannika,26-Jan-98,Nitrates
9263,0.98,Kannika,26-Jan-98,Nitrates
8298,0.03,Kannika,26-Jan-98,Nitrites
8779,0.03,Kannika,26-Jan-98,Nitrites
9262,0.03,Kannika,26-Jan-98,Nitrites
8300,0.07,Kannika,26-Jan-98,Orthophosphate-phosphorus
8781,0.07,Kannika,26-Jan-98,Orthophosphate-phosphorus
9264,0.07,Kannika,26-Jan-98,Orthophosphate-phosphorus
8303,3.2,Kannika,26-Jan-98,Potassium
8784,3.2,Kannika,26-Jan-98,Potassium
9267,3.3,Kannika,26-Jan-98,Potassium
8302,21.26,Kannika,26-Jan-98,Sodium
8783,22,Kannika,26-Jan-98,Sodium
9266,21.2,Kannika,26-Jan-98,Sodium
8307,39.96,Kannika,26-Jan-98,Sulphates
8788,41.9,Kannika,26-Jan-98,Sulphates
9271,39,Kannika,26-Jan-98,Sulphates
8328,0,Kannika,26-Jan-98,Total coliforms
8809,0,Kannika,26-Jan-98,Total coliforms
9292,0,Kannika,26-Jan-98,Total coliforms
8301,0.09,Kannika,26-Jan-98,Total phosphorus
8782,0.1,Kannika,26-Jan-98,Total phosphorus
9265,0.1,Kannika,26-Jan-98,Total phosphorus
5054,0.4,Chai,31-Jan-98,Ammonium
5538,0.4,Chai,31-Jan-98,Ammonium
6016,0.41,Chai,31-Jan-98,Ammonium
5075,3.7,Chai,31-Jan-98,Biochemical Oxygen
5559,2.9,Chai,31-Jan-98,Biochemical Oxygen
6037,2.9,Chai,31-Jan-98,Biochemical Oxygen
5061,52.6,Chai,31-Jan-98,Calcium
5545,51.8,Chai,31-Jan-98,Calcium
6023,56.9,Chai,31-Jan-98,Calcium
5076,8.9,Chai,31-Jan-98,Chemical Oxygen Demand (Cr)
5560,8.8,Chai,31-Jan-98,Chemical Oxygen Demand (Cr)
6038,10,Chai,31-Jan-98,Chemical Oxygen Demand (Cr)
5077,9.3,Chai,31-Jan-98,Chemical Oxygen Demand (Mn)
5561,9,Chai,31-Jan-98,Chemical Oxygen Demand (Mn)
6039,9.7,Chai,31-Jan-98,Chemical Oxygen Demand (Mn)
5063,37.9,Chai,31-Jan-98,Chlorides
5547,36.8,Chai,31-Jan-98,Chlorides
6025,38.3,Chai,31-Jan-98,Chlorides
5051,7.9,Chai,31-Jan-98,Dissolved oxygen
5535,8,Chai,31-Jan-98,Dissolved oxygen
6013,8,Chai,31-Jan-98,Dissolved oxygen
5086,0,Chai,31-Jan-98,Fecal coliforms
5570,0,Chai,31-Jan-98,Fecal coliforms
6048,0,Chai,31-Jan-98,Fecal coliforms
5065,0.06,Chai,31-Jan-98,Iron
5549,0.04,Chai,31-Jan-98,Iron
6027,0.07,Chai,31-Jan-98,Iron
5083,0,Chai,31-Jan-98,Macrozoobenthos
5567,0,Chai,31-Jan-98,Macrozoobenthos
6045,0,Chai,31-Jan-98,Macrozoobenthos
5062,14.8,Chai,31-Jan-98,Magnesium
