id,value,location,sample date,measure
2240,21,Boonsri,11-Jan-98,Zinc
2241,22,Boonsri,11-Jan-98,Copper
2242,17,Boonsri,11-Jan-98,Chromium
2243,0,Boonsri,11-Jan-98,Lead
2244,0,Boonsri,11-Jan-98,Cadmium
2245,0,Boonsri,11-Jan-98,Mercury
2246,5,Boonsri,11-Jan-98,Nickel
2247,0,Boonsri,11-Jan-98,Arsenic
2251,0,Boonsri,11-Jan-98,AOX
2253,0,Boonsri,11-Jan-98,Atrazine
2254,0,Boonsri,11-Jan-98,Cesium
8310,0,Kannika,26-Jan-98,Zinc
8311,10,Kannika,26-Jan-98,Copper
8312,10,Kannika,26-Jan-98,Chromium
8313,0,Kannika,26-Jan-98,Lead
8314,0,Kannika,26-Jan-98,Cadmium
8315,0,Kannika,26-Jan-98,Mercury
8316,30,Kannika,26-Jan-98,Nickel
8317,0,Kannika,26-Jan-98,Arsenic
8321,0,Kannika,26-Jan-98,AOX
8323,0,Kannika,26-Jan-98,Atrazine
8324,0,Kannika,26-Jan-98,Cesium
8791,0,Kannika,26-Jan-98,Zinc
8792,10,Kannika,26-Jan-98,Copper
8793,10,Kannika,26-Jan-98,Chromium
8794,0,Kannika,26-Jan-98,Lead
8795,0,Kannika,26-Jan-98,Cadmium
8796,0,Kannika,26-Jan-98,Mercury
8797,30,Kannika,26-Jan-98,Nickel
8798,0,Kannika,26-Jan-98,Arsenic
8802,0,Kannika,26-Jan-98,AOX
8804,0,Kannika,26-Jan-98,Atrazine
8805,0,Kannika,26-Jan-98,Cesium
9274,0,Kannika,26-Jan-98,Zinc
9275,10,Kannika,26-Jan-98,Copper
9276,10,Kannika,26-Jan-98,Chromium
9277,0,Kannika,26-Jan-98,Lead
9278,0,Kannika,26-Jan-98,Cadmium
9279,0,Kannika,26-Jan-98,Mercury
9280,30,Kannika,26-Jan-98,Nickel
9281,0,Kannika,26-Jan-98,Arsenic
9285,0,Kannika,26-Jan-98,AOX
9287,0,Kannika,26-Jan-98,Atrazine
9288,0,Kannika,26-Jan-98,Cesium
5067,0,Chai,31-Jan-98,Zinc
5068,0,Chai,31-Jan-98,Copper
5069,0,Chai,31-Jan-98,Chromium
5070,0,Chai,31-Jan-98,Lead
5071,0,Chai,31-Jan-98,Cadmium
5072,0,Chai,31-Jan-98,Mercury
5073,0,Chai,31-Jan-98,Nickel
5074,0,Chai,31-Jan-98,Arsenic
